pose_landmark,x,y,z,visibility
NOSE,0.0995497852563858,-0.6246957182884216,-0.21454781293869019,0.9999994039535522
LEFT_EYE_INNER,0.09995509684085846,-0.6448462605476379,-0.20194540917873383,0.9999949932098389
LEFT_EYE,0.09978032112121582,-0.6465628743171692,-0.19814817607402802,0.9999953508377075
LEFT_EYE_OUTER,0.0987873524427414,-0.6468378901481628,-0.19732920825481415,0.9999949932098389
RIGHT_EYE_INNER,0.09629547595977783,-0.6519243717193604,-0.23813383281230927,0.999997615814209
RIGHT_EYE,0.09714961051940918,-0.6525468826293945,-0.24682863056659698,0.9999984502792358
RIGHT_EYE_OUTER,0.10187780857086182,-0.6389798521995544,-0.22907739877700806,0.9999983310699463
LEFT_EAR,0.08310574293136597,-0.6211039423942566,-0.12286454439163208,0.9999977350234985
RIGHT_EAR,0.018717562779784203,-0.5783815979957581,-0.20473931729793549,0.9999970197677612
MOUTH_LEFT,0.11193393915891647,-0.6042582392692566,-0.17671824991703033,0.9999978542327881
MOUTH_RIGHT,0.09412073343992233,-0.5705887079238892,-0.22825190424919128,0.9999982118606567
LEFT_SHOULDER,0.1596146821975708,-0.47990772128105164,-0.03335481882095337,0.9999964237213135
RIGHT_SHOULDER,-0.1181984692811966,-0.5297744870185852,-0.069640152156353,0.999993085861206
LEFT_ELBOW,0.40968194603919983,-0.5042908191680908,-0.03686578571796417,0.9958347082138062
RIGHT_ELBOW,-0.3622642755508423,-0.4372222125530243,-0.12259873002767563,0.9997062087059021
LEFT_WRIST,0.6444092392921448,-0.5439865589141846,-0.02510491944849491,0.9963219165802002
RIGHT_WRIST,-0.6115521192550659,-0.47484368085861206,-0.1869870275259018,0.9988319277763367
LEFT_PINKY,0.7014163732528687,-0.5706719756126404,-0.011171882040798664,0.9903748631477356
RIGHT_PINKY,-0.6441110372543335,-0.4982448220252991,-0.21469780802726746,0.9966854453086853
LEFT_INDEX,0.690540611743927,-0.5918895602226257,-0.05017198249697685,0.9916360378265381
RIGHT_INDEX,-0.6306778192520142,-0.5409595370292664,-0.2437921017408371,0.9969722032546997
LEFT_THUMB,0.6565515995025635,-0.5346025228500366,-0.04918920621275902,0.9925231337547302
RIGHT_THUMB,-0.6179179549217224,-0.48745882511138916,-0.20501360297203064,0.9961954355239868
LEFT_HIP,0.09524606168270111,-0.007891037501394749,0.05629890412092209,0.9999862909317017
RIGHT_HIP,-0.0915229395031929,0.0051766750402748585,-0.053758710622787476,0.9999831914901733
LEFT_KNEE,0.39930760860443115,0.056589074432849884,-0.16690315306186676,0.9989987015724182
RIGHT_KNEE,-0.31397563219070435,0.13193295896053314,-0.12120421230792999,0.9993243217468262
LEFT_ANKLE,0.5003575682640076,0.4346623122692108,0.00029217853443697095,0.9936096668243408
RIGHT_ANKLE,-0.6234689354896545,0.4115704894065857,0.02202056348323822,0.9963482022285461
LEFT_HEEL,0.49410125613212585,0.46719980239868164,0.025667797774076462,0.9869716763496399
RIGHT_HEEL,-0.6563730239868164,0.430984765291214,-0.0014873589389026165,0.9660755395889282
LEFT_FOOT_INDEX,0.5790952444076538,0.461238294839859,0.0014001595554873347,0.9930306077003479
RIGHT_FOOT_INDEX,-0.6534744501113892,0.41998082399368286,-0.056930553168058395,0.9916447997093201
