pose_landmark,x,y,z,visibility
NOSE,0.11025368422269821,-0.6773107647895813,-0.11691012978553772,0.9989761114120483
LEFT_EYE_INNER,0.09049782902002335,-0.6907833814620972,-0.11121407896280289,0.9988288283348083
LEFT_EYE,0.08893059194087982,-0.6915498375892639,-0.10245100408792496,0.9989572763442993
LEFT_EYE_OUTER,0.08857572078704834,-0.6911678910255432,-0.1023305281996727,0.9989863038063049
RIGHT_EYE_INNER,0.09228060394525528,-0.6955169439315796,-0.15771065652370453,0.9989244341850281
RIGHT_EYE,0.09524558484554291,-0.6958119869232178,-0.16861362755298615,0.9993823766708374
RIGHT_EYE_OUTER,0.09979801625013351,-0.680353045463562,-0.1484176367521286,0.9992700219154358
LEFT_EAR,0.02304663695394993,-0.6605637669563293,-0.04484118893742561,0.9996249675750732
RIGHT_EAR,-0.004917677026242018,-0.5926474928855896,-0.17816142737865448,0.9994827508926392
MOUTH_LEFT,0.10507148504257202,-0.651734471321106,-0.07997790724039078,0.9977930784225464
MOUTH_RIGHT,0.09573829174041748,-0.6116366386413574,-0.15240909159183502,0.9976525902748108
LEFT_SHOULDER,0.05768372118473053,-0.571323573589325,0.07517153024673462,0.9997439980506897
RIGHT_SHOULDER,-0.010585306212306023,-0.6030880212783813,-0.12145695835351944,0.9999463558197021
LEFT_ELBOW,0.0969330444931984,-0.8308481574058533,0.1384395956993103,0.11051057279109955
RIGHT_ELBOW,0.07766889035701752,-0.7441079616546631,-0.24052169919013977,0.9980523586273193
LEFT_WRIST,0.11187959462404251,-1.037211298942566,0.08545979112386703,0.5669876337051392
RIGHT_WRIST,0.03817620500922203,-0.9865977168083191,-0.21477475762367249,0.9973884224891663
LEFT_PINKY,0.09511222690343857,-1.116025686264038,0.09672432392835617,0.753686249256134
RIGHT_PINKY,0.05627067759633064,-1.0704177618026733,-0.27084052562713623,0.9960542917251587
LEFT_INDEX,0.06442266702651978,-1.1246041059494019,0.07274534553289413,0.7364055514335632
RIGHT_INDEX,0.02876640483736992,-1.1118881702423096,-0.2508002519607544,0.9954637885093689
LEFT_THUMB,0.10775167495012283,-1.034276008605957,0.0700884684920311,0.7402133345603943
RIGHT_THUMB,0.028790926560759544,-1.0231720209121704,-0.21078874170780182,0.9940898418426514
LEFT_HIP,0.059736497700214386,-0.0033193384297192097,0.10204338282346725,0.999994158744812
RIGHT_HIP,-0.06001640483736992,-0.004190605599433184,-0.09668086469173431,0.9999868869781494
LEFT_KNEE,0.36449044942855835,0.12122746556997299,0.12902837991714478,0.9999610185623169
RIGHT_KNEE,-0.26887941360473633,0.2436199188232422,-0.11923971772193909,0.9997814297676086
LEFT_ANKLE,0.36293825507164,0.475516676902771,0.23255057632923126,0.9999892711639404
RIGHT_ANKLE,-0.6206970810890198,0.42850741744041443,0.032152436673641205,0.999747097492218
LEFT_HEEL,0.34328797459602356,0.5019218921661377,0.2463890165090561,0.999984622001648
RIGHT_HEEL,-0.6598488092422485,0.4384983479976654,0.012335045263171196,0.9989308714866638
LEFT_FOOT_INDEX,0.3901405334472656,0.49133068323135376,0.2805004417896271,0.9999426603317261
RIGHT_FOOT_INDEX,-0.6313037872314453,0.4539564847946167,-0.03863334655761719,0.9993621706962585
